tripStartTime,tripDuration
2020-09-01 16:49:56,509
2020-09-01 16:49:59,666
2020-09-01 16:50:07,2080
2020-09-01 16:50:09,2301
2020-09-01 16:50:11,942
2020-09-01 16:50:11,877
2020-09-01 16:50:24,448
2020-09-01 16:50:25,1037
2020-09-01 16:50:26,944
2020-09-01 16:50:29,746
2020-09-01 16:50:31,281
2020-09-01 16:50:32,79
2020-09-01 16:50:35,1220
2020-09-01 16:50:41,2182
2020-09-01 16:50:55,228
2020-09-01 16:51:08,951
2020-09-01 16:51:10,192
2020-09-01 16:51:15,981
2020-09-01 16:51:16,184
2020-09-01 16:51:23,1253
2020-09-01 16:51:27,727
2020-09-01 16:51:35,1243
2020-09-01 16:51:39,233
2020-09-01 16:51:39,260
2020-09-01 16:51:40,6225
2020-09-01 16:51:42,1861
2020-09-01 16:51:43,543
2020-09-01 16:51:43,675
2020-09-01 16:51:44,650
2020-09-01 16:51:45,1241
2020-09-01 16:51:49,1019
2020-09-01 16:51:52,263
2020-09-01 16:51:52,237
2020-09-01 16:51:55,140
2020-09-01 16:51:57,1174
2020-09-01 16:51:59,602
2020-09-01 16:51:59,593
2020-09-01 16:51:59,566
2020-09-01 16:52:01,157
2020-09-01 16:52:01,570
2020-09-01 16:52:02,901
2020-09-01 16:52:02,161
2020-09-01 16:52:05,286
2020-09-01 16:52:08,1144
2020-09-01 16:52:10,4300
2020-09-01 16:52:12,312
2020-09-01 16:52:15,726
2020-09-01 16:52:20,563
2020-09-01 16:52:44,3132
2020-09-01 16:52:44,1564
2020-09-01 16:52:49,809
2020-09-01 16:52:49,3321
2020-09-01 16:52:53,2615
2020-09-01 16:52:53,404
2020-09-01 16:53:06,635264
2020-09-01 16:53:06,478
2020-09-01 16:53:08,726
2020-09-01 16:53:11,3293
2020-09-01 16:53:12,212
2020-09-01 16:53:17,1726
2020-09-01 16:53:28,1371
2020-09-01 16:53:39,603
2020-09-01 16:53:42,2402
2020-09-01 16:53:54,467
2020-09-01 16:53:58,390
2020-09-01 16:54:03,417
2020-09-01 16:54:05,868
2020-09-01 16:54:05,432
2020-09-01 16:54:08,1192
2020-09-01 16:54:15,378
2020-09-01 16:54:16,1726
2020-09-01 16:54:17,786
2020-09-01 16:54:28,512
2020-09-01 16:54:42,872
2020-09-01 16:54:43,515
2020-09-01 16:54:44,200
2020-09-01 16:54:49,2514
2020-09-01 16:54:57,522
2020-09-01 16:54:57,1056
2020-09-01 16:55:06,577
2020-09-01 16:55:11,446
2020-09-01 16:55:14,387
2020-09-01 16:55:14,872
2020-09-01 16:55:17,124
2020-09-01 16:55:19,2163
2020-09-01 16:55:22,559
2020-09-01 16:55:23,640
2020-09-01 16:55:23,391
2020-09-01 16:55:32,618
2020-09-01 16:55:46,1047
2020-09-01 16:56:03,2110
2020-09-01 16:56:06,1520
2020-09-01 16:56:07,478
2020-09-01 16:56:14,781
2020-09-01 16:56:19,277
2020-09-01 16:56:21,6448
2020-09-01 16:56:22,4961
2020-09-01 16:56:26,2953
2020-09-01 16:56:31,560
2020-09-01 16:56:33,597
2020-09-01 16:56:34,347
2020-09-01 16:56:34,601
2020-09-01 16:56:41,564
2020-09-01 16:56:42,1162
2020-09-01 16:56:43,855
2020-09-01 16:56:53,910
2020-09-01 16:56:56,1786
2020-09-01 16:56:57,492
2020-09-01 16:57:07,1427
2020-09-01 16:57:08,1944
2020-09-01 16:57:15,301
2020-09-01 16:57:26,1382
2020-09-01 16:57:28,293
2020-09-01 16:57:28,611
2020-09-01 16:57:34,1535
2020-09-01 16:57:47,840
2020-09-01 16:57:47,1924
2020-09-01 16:57:50,215
2020-09-01 16:57:50,676
2020-09-01 16:57:51,3045
2020-09-01 16:57:56,550
2020-09-01 16:57:58,122
2020-09-01 16:57:58,1224
2020-09-01 16:58:03,1906
2020-09-01 16:58:04,600
2020-09-01 16:58:08,969
2020-09-01 16:58:12,657
2020-09-01 16:58:14,1058
2020-09-01 16:58:14,3814
2020-09-01 16:58:26,843
2020-09-01 16:58:27,954
2020-09-01 16:58:27,473
2020-09-01 16:58:51,938
2020-09-01 16:58:58,357
2020-09-01 16:59:11,1677
2020-09-01 16:59:15,990
2020-09-01 16:59:16,1404
2020-09-01 16:59:17,1331
2020-09-01 16:59:22,72
2020-09-01 16:59:23,960
2020-09-01 16:59:28,256
2020-09-01 16:59:35,661
2020-09-01 16:59:36,1299
2020-09-01 16:59:37,718
2020-09-01 16:59:38,220
2020-09-01 16:59:40,459
2020-09-01 16:59:44,3836
2020-09-01 16:59:48,4244
2020-09-01 16:59:48,361
2020-09-01 16:59:54,943
2020-09-01 16:59:57,147
2020-09-01 16:59:59,867
2020-09-01 17:00:06,784
2020-09-01 17:00:07,1139
2020-09-01 17:00:11,768
2020-09-01 17:00:12,1404
2020-09-01 17:00:15,1424
2020-09-01 17:00:28,792
2020-09-01 17:00:28,3020
2020-09-01 17:00:36,3574
2020-09-01 17:00:39,1674
2020-09-01 17:00:41,687
2020-09-01 17:00:42,1166
2020-09-01 17:00:47,325
2020-09-01 17:00:49,1182
2020-09-01 17:00:51,6157
2020-09-01 17:00:55,639
2020-09-01 17:00:56,1447
2020-09-01 17:01:04,4688
2020-09-01 17:01:06,1160
2020-09-01 17:01:12,345
2020-09-01 17:01:14,4260
2020-09-01 17:01:14,583
2020-09-01 17:01:20,2590
2020-09-01 17:01:21,393
2020-09-01 17:01:21,884
2020-09-01 17:01:25,943
2020-09-01 17:01:25,535
2020-09-01 17:01:30,2534
2020-09-01 17:01:32,870
2020-09-01 17:01:33,1635
2020-09-01 17:01:37,395
2020-09-01 17:01:37,2172
2020-09-01 17:01:40,597
2020-09-01 17:01:42,860
2020-09-01 17:01:46,1423
2020-09-01 17:01:49,499
2020-09-01 17:01:50,771
2020-09-01 17:01:51,2087
2020-09-01 17:01:52,851
2020-09-01 17:01:53,1169
2020-09-01 17:01:54,256
2020-09-01 17:01:55,1601
2020-09-01 17:01:57,1115
2020-09-01 17:01:58,2250
2020-09-01 17:01:58,1607
2020-09-01 17:02:07,1527
2020-09-01 17:02:07,681
2020-09-01 17:02:13,344
2020-09-01 17:02:24,706
2020-09-01 17:02:32,1008
2020-09-01 17:02:38,891
2020-09-01 17:02:45,1081
2020-09-01 17:02:49,217
2020-09-01 17:02:52,731
2020-09-01 17:02:53,368
2020-09-01 17:02:55,582
2020-09-01 17:02:55,747
2020-09-01 17:02:55,817
2020-09-01 17:02:58,767
2020-09-01 17:03:00,741
2020-09-01 17:03:03,1532
2020-09-01 17:03:06,762
2020-09-01 17:03:06,673
2020-09-01 17:03:07,7255
2020-09-01 17:03:11,7249
2020-09-01 17:03:16,851
2020-09-01 17:03:17,745
2020-09-01 17:03:19,563
2020-09-01 17:03:20,942
2020-09-01 17:03:25,307
2020-09-01 17:03:29,1066
2020-09-01 17:03:30,283
2020-09-01 17:03:34,146
2020-09-01 17:03:37,1226
2020-09-01 17:03:39,1045
2020-09-01 17:03:50,254
2020-09-01 17:03:50,929
2020-09-01 17:03:51,929
2020-09-01 17:03:52,730
2020-09-01 17:03:55,1632
2020-09-01 17:03:56,990
2020-09-01 17:03:57,949
2020-09-01 17:03:58,549
2020-09-01 17:03:58,877
2020-09-01 17:04:00,1201
2020-09-01 17:04:07,363
2020-09-01 17:04:08,836
2020-09-01 17:04:10,1568
2020-09-01 17:04:10,250
2020-09-01 17:04:16,834
2020-09-01 17:04:24,276
2020-09-01 17:04:25,462
2020-09-01 17:04:26,1008
2020-09-01 17:04:29,410
2020-09-01 17:04:34,449
2020-09-01 17:04:36,369
2020-09-01 17:04:42,916
2020-09-01 17:04:47,581
2020-09-01 17:04:57,513
2020-09-01 17:05:03,2735
2020-09-01 17:05:04,149
2020-09-01 17:05:09,609
2020-09-01 17:05:11,645
2020-09-01 17:05:16,7098
2020-09-01 17:05:16,426
2020-09-01 17:05:17,956
2020-09-01 17:05:19,648
2020-09-01 17:05:20,1524
2020-09-01 17:05:26,559
2020-09-01 17:05:29,368
2020-09-01 17:05:31,784
2020-09-01 17:05:36,1647
2020-09-01 17:05:36,2505
2020-09-01 17:05:38,2783
2020-09-01 17:05:38,2101
2020-09-01 17:05:40,1179
2020-09-01 17:05:40,996
2020-09-01 17:05:41,892
2020-09-01 17:05:45,983
2020-09-01 17:05:47,1861
2020-09-01 17:05:48,726
2020-09-01 17:05:49,329
2020-09-01 17:06:01,1089
2020-09-01 17:06:01,569
2020-09-01 17:06:01,726
2020-09-01 17:06:02,605
2020-09-01 17:06:10,720
2020-09-01 17:06:17,238
